job_id,job_title,required_skills,rule_ai_tag,rule_reason
AI00122,Principal Data Scientist,"Git, SQL, Scala, Python, Computer Vision",1,Data Scientist with ML skills
AI00127,AI Product Manager,"Statistics, R, Python, TensorFlow",0,规则匹配: AI Product Manager
AI00129,AI Product Manager,"GCP, R, Azure, Deep Learning, PyTorch",0,规则匹配: AI Product Manager
AI00130,AI Software Engineer,"Spark, Python, Deep Learning, Linux, Java",1,规则匹配: AI Software Engineer
AI00131,AI Specialist,"AWS, R, Spark",1,规则匹配: AI Specialist
AI00132,AI Software Engineer,"Python, TensorFlow, PyTorch",1,规则匹配: AI Software Engineer
AI00135,AI Product Manager,"Computer Vision, GCP, Azure, SQL, Python",0,规则匹配: AI Product Manager
AI00139,AI Consultant,"PyTorch, Statistics, MLOps, Kubernetes, Computer Vision",0,规则匹配: AI Consultant
AI00140,Principal Data Scientist,"Linux, AWS, Computer Vision, Deep Learning",1,Data Scientist with ML skills
AI00145,AI Product Manager,"GCP, Linux, R, Hadoop",0,规则匹配: AI Product Manager
AI00146,Principal Data Scientist,"TensorFlow, Git, Azure, Python",1,Data Scientist with ML skills
AI00150,AI Specialist,"TensorFlow, Kubernetes, Deep Learning",1,规则匹配: AI Specialist
AI00160,AI Software Engineer,"GCP, Computer Vision, Scala, AWS, Linux",1,规则匹配: AI Software Engineer
AI00161,Principal Data Scientist,"Data Visualization, SQL, Scala",1,Data Scientist default
AI00163,AI Software Engineer,"Deep Learning, Python, NLP",1,规则匹配: AI Software Engineer
AI00164,AI Architect,"R, AWS, Git, Tableau",1,规则匹配: AI Architect
AI00168,AI Software Engineer,"Linux, Azure, Kubernetes",1,规则匹配: AI Software Engineer
AI00172,AI Product Manager,"PyTorch, Scala, Hadoop, Docker, Computer Vision",0,规则匹配: AI Product Manager
AI00173,AI Specialist,"Tableau, GCP, Python",1,规则匹配: AI Specialist
AI00174,AI Software Engineer,"Python, TensorFlow, GCP, Java",1,规则匹配: AI Software Engineer
AI00176,AI Software Engineer,"Scala, Hadoop, Azure",1,规则匹配: AI Software Engineer
AI00177,AI Software Engineer,"Linux, Azure, Git, Deep Learning, Spark",1,规则匹配: AI Software Engineer
AI00180,AI Consultant,"Deep Learning, Azure, Python",0,规则匹配: AI Consultant
AI00181,Principal Data Scientist,"Statistics, AWS, Java, PyTorch",1,Data Scientist with ML skills
AI00184,AI Product Manager,"PyTorch, NLP, MLOps, Azure",0,规则匹配: AI Product Manager
AI00187,AI Product Manager,"SQL, PyTorch, NLP, Data Visualization",0,规则匹配: AI Product Manager
AI00188,AI Specialist,"Java, Python, Mathematics",1,规则匹配: AI Specialist
AI00194,AI Specialist,"TensorFlow, Docker, R, NLP, Java",1,规则匹配: AI Specialist
AI00195,AI Architect,"Java, Scala, Tableau",1,规则匹配: AI Architect
AI00196,AI Software Engineer,"GCP, TensorFlow, Data Visualization",1,规则匹配: AI Software Engineer
AI00197,Principal Data Scientist,"Linux, PyTorch, TensorFlow, Azure, Python",1,Data Scientist with ML skills
AI00198,AI Product Manager,"MLOps, Python, Linux, NLP",0,规则匹配: AI Product Manager
AI00199,AI Software Engineer,"Linux, Kubernetes, Spark, Java",1,规则匹配: AI Software Engineer
AI00200,AI Product Manager,"TensorFlow, Kubernetes, SQL, Linux, Mathematics",0,规则匹配: AI Product Manager
AI00202,AI Specialist,"Statistics, Python, TensorFlow",1,规则匹配: AI Specialist
AI00204,AI Specialist,"Scala, SQL, Deep Learning, Statistics, GCP",1,规则匹配: AI Specialist
AI00205,AI Consultant,"AWS, Scala, Docker",0,规则匹配: AI Consultant
AI00215,AI Specialist,"Azure, Python, TensorFlow, Data Visualization",1,规则匹配: AI Specialist
AI00216,AI Software Engineer,"GCP, Azure, Deep Learning, Spark, SQL",1,规则匹配: AI Software Engineer
AI00219,Principal Data Scientist,"PyTorch, MLOps, Computer Vision, AWS, Deep Learning",1,Data Scientist with ML skills
AI00223,AI Architect,"Mathematics, Hadoop, Scala, NLP, Kubernetes",1,规则匹配: AI Architect
AI00227,AI Product Manager,"Data Visualization, Linux, GCP, Hadoop",0,规则匹配: AI Product Manager
AI00244,AI Specialist,"Spark, Git, Hadoop",1,规则匹配: AI Specialist
AI00246,AI Product Manager,"R, Azure, MLOps",0,规则匹配: AI Product Manager
AI00247,AI Specialist,"Git, Statistics, Mathematics, Hadoop, Java",1,规则匹配: AI Specialist
AI00252,AI Product Manager,"Python, Linux, Tableau, SQL, MLOps",0,规则匹配: AI Product Manager
AI00256,Principal Data Scientist,"Spark, Java, GCP",1,Data Scientist default
AI00257,AI Product Manager,"SQL, Python, GCP",0,规则匹配: AI Product Manager
AI00262,Principal Data Scientist,"Data Visualization, Scala, Python, SQL, Linux",1,Data Scientist default
AI00263,AI Software Engineer,"Java, AWS, GCP, Spark",1,规则匹配: AI Software Engineer
AI00266,AI Consultant,"Scala, GCP, MLOps, Python, Computer Vision",0,规则匹配: AI Consultant
AI00276,Principal Data Scientist,"Java, Git, Data Visualization, SQL, Kubernetes",1,Data Scientist default
AI00288,AI Software Engineer,"Docker, TensorFlow, Hadoop, Git, Scala",1,规则匹配: AI Software Engineer
AI00291,AI Consultant,"Tableau, Linux, SQL, Spark, GCP",0,规则匹配: AI Consultant
AI00294,AI Consultant,"Data Visualization, Hadoop, Scala, AWS",0,规则匹配: AI Consultant
AI00298,AI Specialist,"Computer Vision, SQL, Java, GCP",1,规则匹配: AI Specialist
AI00299,Principal Data Scientist,"Python, TensorFlow, Git, PyTorch, MLOps",1,Data Scientist with ML skills
AI00304,AI Software Engineer,"Deep Learning, Kubernetes, SQL",1,规则匹配: AI Software Engineer
AI00307,AI Architect,"Git, Python, Scala, AWS",1,规则匹配: AI Architect
AI00310,AI Product Manager,"Git, Python, TensorFlow, SQL",0,规则匹配: AI Product Manager
AI00314,AI Software Engineer,"SQL, Computer Vision, Linux, Data Visualization, Git",1,规则匹配: AI Software Engineer
AI00319,AI Consultant,"Kubernetes, Mathematics, Git, PyTorch",0,规则匹配: AI Consultant
AI00326,AI Consultant,"PyTorch, SQL, Java, Git",0,规则匹配: AI Consultant
AI00327,AI Architect,"Scala, Linux, Docker, Git",1,规则匹配: AI Architect
AI00331,Principal Data Scientist,"Deep Learning, SQL, Data Visualization, NLP, Tableau",1,Data Scientist with ML skills
AI00335,Principal Data Scientist,"PyTorch, SQL, AWS, Spark",1,Data Scientist with ML skills
AI00338,AI Consultant,"Mathematics, Git, Linux",0,规则匹配: AI Consultant
AI00346,AI Specialist,"Tableau, Azure, AWS, Data Visualization",1,规则匹配: AI Specialist
AI00350,AI Consultant,"GCP, Linux, R, Scala",0,规则匹配: AI Consultant
AI00353,AI Software Engineer,"Deep Learning, Computer Vision, Tableau, PyTorch",1,规则匹配: AI Software Engineer
AI00356,AI Architect,"Azure, NLP, Scala",1,规则匹配: AI Architect
AI00359,AI Specialist,"Git, Hadoop, PyTorch, Java",1,规则匹配: AI Specialist
AI00361,AI Product Manager,"Statistics, GCP, SQL",0,规则匹配: AI Product Manager
AI00362,Principal Data Scientist,"TensorFlow, Data Visualization, Kubernetes, Linux",1,Data Scientist with ML skills
AI00364,AI Consultant,"Docker, Scala, AWS",0,规则匹配: AI Consultant
AI00366,AI Specialist,"SQL, Git, Java, Docker",1,规则匹配: AI Specialist
AI00367,AI Software Engineer,"Linux, Scala, PyTorch, Hadoop",1,规则匹配: AI Software Engineer
AI00368,AI Architect,"MLOps, Java, Linux",1,规则匹配: AI Architect
AI00375,AI Consultant,"Hadoop, Docker, MLOps",0,规则匹配: AI Consultant
AI00376,AI Architect,"PyTorch, Mathematics, Tableau",1,规则匹配: AI Architect
AI00381,AI Product Manager,"Python, Statistics, Computer Vision, Azure",0,规则匹配: AI Product Manager
AI00383,AI Software Engineer,"Linux, Kubernetes, GCP",1,规则匹配: AI Software Engineer
AI00384,AI Product Manager,"PyTorch, SQL, TensorFlow, Kubernetes, Git",0,规则匹配: AI Product Manager
AI00389,AI Architect,"AWS, Kubernetes, Tableau, Computer Vision, Statistics",1,规则匹配: AI Architect
AI00391,AI Consultant,"TensorFlow, NLP, Java, Deep Learning, Scala",0,规则匹配: AI Consultant
AI00392,AI Product Manager,"Data Visualization, Scala, Statistics",0,规则匹配: AI Product Manager
AI00395,Principal Data Scientist,"Git, Spark, MLOps, NLP, Python",1,Data Scientist with ML skills
AI00398,AI Software Engineer,"Hadoop, PyTorch, Scala, TensorFlow",1,规则匹配: AI Software Engineer
AI00404,AI Consultant,"GCP, MLOps, Computer Vision, Data Visualization",0,规则匹配: AI Consultant
AI00405,AI Product Manager,"Hadoop, Tableau, Mathematics, SQL, AWS",0,规则匹配: AI Product Manager
AI00406,Principal Data Scientist,"Statistics, Mathematics, SQL, TensorFlow",1,Data Scientist with ML skills
AI00408,Principal Data Scientist,"Python, Computer Vision, Git",1,Data Scientist with ML skills
AI00414,AI Software Engineer,"NLP, Python, Scala",1,规则匹配: AI Software Engineer
AI00423,AI Software Engineer,"Git, SQL, Python, TensorFlow",1,规则匹配: AI Software Engineer
AI00428,AI Architect,"PyTorch, Kubernetes, Linux, Computer Vision",1,规则匹配: AI Architect
AI00429,AI Specialist,"SQL, Python, GCP, R",1,规则匹配: AI Specialist
AI00433,AI Consultant,"Java, PyTorch, TensorFlow",0,规则匹配: AI Consultant
AI00436,AI Software Engineer,"Deep Learning, Hadoop, R",1,规则匹配: AI Software Engineer
AI00440,AI Software Engineer,"Docker, TensorFlow, AWS",1,规则匹配: AI Software Engineer
AI00442,AI Software Engineer,"Git, Azure, Java",1,规则匹配: AI Software Engineer
AI00444,AI Architect,"Java, Python, Data Visualization, Kubernetes",1,规则匹配: AI Architect
AI00447,Principal Data Scientist,"Docker, SQL, GCP, Scala, Git",1,Data Scientist default
AI00448,AI Consultant,"Java, Hadoop, AWS, Mathematics, Deep Learning",0,规则匹配: AI Consultant
AI00449,AI Architect,"Linux, AWS, Git, Python",1,规则匹配: AI Architect
AI00451,AI Specialist,"Python, TensorFlow, Linux, Java, Kubernetes",1,规则匹配: AI Specialist
AI00468,AI Consultant,"Java, Deep Learning, SQL, MLOps",0,规则匹配: AI Consultant
AI00477,AI Consultant,"Git, GCP, MLOps, Deep Learning, Statistics",0,规则匹配: AI Consultant
AI00479,AI Architect,"Git, Python, PyTorch",1,规则匹配: AI Architect
AI00481,AI Product Manager,"PyTorch, NLP, Tableau, Computer Vision",0,规则匹配: AI Product Manager
AI00483,AI Product Manager,"Computer Vision, SQL, NLP, Hadoop, TensorFlow",0,规则匹配: AI Product Manager
AI00486,AI Software Engineer,"R, SQL, Spark",1,规则匹配: AI Software Engineer
AI00487,AI Specialist,"Kubernetes, PyTorch, Git",1,规则匹配: AI Specialist
AI00491,Principal Data Scientist,"Kubernetes, NLP, Python",1,Data Scientist with ML skills
AI00492,AI Product Manager,"Python, TensorFlow, Azure, PyTorch, Deep Learning",0,规则匹配: AI Product Manager
AI00493,Principal Data Scientist,"Mathematics, NLP, Deep Learning, Python",1,Data Scientist with ML skills
AI00496,AI Specialist,"Scala, R, SQL, NLP, Java",1,规则匹配: AI Specialist
AI00497,AI Software Engineer,"Spark, PyTorch, TensorFlow, Scala",1,规则匹配: AI Software Engineer
AI00508,AI Architect,"GCP, Scala, Java, SQL, Deep Learning",1,规则匹配: AI Architect
AI00510,AI Software Engineer,"Git, R, Scala, Kubernetes",1,规则匹配: AI Software Engineer
AI00511,AI Specialist,"AWS, Kubernetes, NLP",1,规则匹配: AI Specialist
AI00516,AI Product Manager,"Data Visualization, PyTorch, Tableau",0,规则匹配: AI Product Manager
AI00518,AI Architect,"Git, Python, NLP, Linux",1,规则匹配: AI Architect
AI00524,AI Product Manager,"Python, Scala, TensorFlow, Spark, GCP",0,规则匹配: AI Product Manager
AI00526,AI Specialist,"MLOps, PyTorch, Git",1,规则匹配: AI Specialist
AI00530,Principal Data Scientist,"PyTorch, Kubernetes, R",1,Data Scientist with ML skills
AI00531,AI Software Engineer,"Kubernetes, Data Visualization, GCP, MLOps, PyTorch",1,规则匹配: AI Software Engineer
AI00532,AI Software Engineer,"NLP, Tableau, Azure, R",1,规则匹配: AI Software Engineer
AI00533,Principal Data Scientist,"Hadoop, Python, Git",1,Data Scientist default
AI00537,AI Specialist,"R, Tableau, Python, Statistics, Deep Learning",1,规则匹配: AI Specialist
AI00541,AI Product Manager,"GCP, Java, Mathematics, Kubernetes",0,规则匹配: AI Product Manager
AI00542,AI Software Engineer,"PyTorch, Python, AWS",1,规则匹配: AI Software Engineer
AI00543,AI Consultant,"Azure, AWS, GCP, Tableau",0,规则匹配: AI Consultant
AI00549,AI Software Engineer,"Computer Vision, PyTorch, SQL, Java, R",1,规则匹配: AI Software Engineer
AI00553,AI Consultant,"Kubernetes, Linux, NLP, Docker, Deep Learning",0,规则匹配: AI Consultant
AI00559,AI Software Engineer,"Tableau, TensorFlow, Linux, Python",1,规则匹配: AI Software Engineer
AI00561,AI Specialist,"Java, Computer Vision, AWS, MLOps, Hadoop",1,规则匹配: AI Specialist
AI00562,AI Architect,"Java, Deep Learning, Tableau, Scala, TensorFlow",1,规则匹配: AI Architect
AI00568,AI Software Engineer,"Hadoop, GCP, Tableau, R, Git",1,规则匹配: AI Software Engineer
AI00572,AI Architect,"Kubernetes, AWS, Scala, Spark",1,规则匹配: AI Architect
AI00573,AI Architect,"Git, Mathematics, Tableau, Hadoop",1,规则匹配: AI Architect
AI00576,AI Consultant,"Hadoop, Docker, MLOps",0,规则匹配: AI Consultant
AI00577,AI Product Manager,"Mathematics, Data Visualization, Python, SQL, Spark",0,规则匹配: AI Product Manager
AI00580,AI Consultant,"Java, MLOps, Scala, Deep Learning",0,规则匹配: AI Consultant
AI00583,AI Software Engineer,"Python, TensorFlow, Git",1,规则匹配: AI Software Engineer
AI00588,AI Software Engineer,"Scala, Data Visualization, Python, MLOps, Azure",1,规则匹配: AI Software Engineer
AI00589,AI Consultant,"R, Kubernetes, Spark, Scala",0,规则匹配: AI Consultant
AI00591,AI Product Manager,"Docker, PyTorch, SQL, Mathematics",0,规则匹配: AI Product Manager
AI00596,AI Product Manager,"Mathematics, Python, Kubernetes",0,规则匹配: AI Product Manager
AI00598,AI Specialist,"Spark, Hadoop, PyTorch",1,规则匹配: AI Specialist
AI00601,AI Architect,"Python, Linux, Hadoop",1,规则匹配: AI Architect
AI00603,AI Consultant,"Deep Learning, Computer Vision, Tableau, Kubernetes",0,规则匹配: AI Consultant
AI00605,AI Architect,"Python, Docker, SQL, AWS, Scala",1,规则匹配: AI Architect
AI00606,AI Software Engineer,"Scala, TensorFlow, Deep Learning",1,规则匹配: AI Software Engineer
AI00609,AI Software Engineer,"Java, Spark, Azure, SQL, Deep Learning",1,规则匹配: AI Software Engineer
AI00611,AI Architect,"Deep Learning, PyTorch, Tableau",1,规则匹配: AI Architect
AI00613,AI Software Engineer,"R, Tableau, GCP, MLOps",1,规则匹配: AI Software Engineer
AI00616,AI Architect,"Kubernetes, SQL, MLOps, GCP, Docker",1,规则匹配: AI Architect
AI00617,AI Specialist,"Git, Scala, GCP, Kubernetes, AWS",1,规则匹配: AI Specialist
AI00620,AI Consultant,"Scala, PyTorch, SQL, Data Visualization, TensorFlow",0,规则匹配: AI Consultant
AI00621,Principal Data Scientist,"PyTorch, Data Visualization, Spark",1,Data Scientist with ML skills
AI00622,AI Specialist,"PyTorch, Mathematics, TensorFlow, Hadoop, NLP",1,规则匹配: AI Specialist
AI00624,AI Architect,"Scala, SQL, GCP, TensorFlow",1,规则匹配: AI Architect
AI00627,Principal Data Scientist,"Kubernetes, Python, TensorFlow",1,Data Scientist with ML skills
AI00630,Principal Data Scientist,"Java, GCP, Python, Mathematics, NLP",1,Data Scientist with ML skills
AI00631,AI Product Manager,"Python, Tableau, Linux",0,规则匹配: AI Product Manager
AI00638,AI Consultant,"MLOps, Docker, Hadoop, R",0,规则匹配: AI Consultant
AI00639,Principal Data Scientist,"Spark, PyTorch, Statistics",1,Data Scientist with ML skills
AI00643,Principal Data Scientist,"Tableau, Hadoop, SQL, Spark",0,Data Scientist BI/reporting only
AI00647,AI Architect,"Azure, Mathematics, R",1,规则匹配: AI Architect
AI00653,AI Architect,"Hadoop, SQL, Computer Vision",1,规则匹配: AI Architect
AI00654,AI Consultant,"Azure, Java, NLP, Spark, Computer Vision",0,规则匹配: AI Consultant
AI00655,AI Software Engineer,"R, Java, Tableau, Data Visualization",1,规则匹配: AI Software Engineer
AI00662,AI Specialist,"Kubernetes, Python, NLP",1,规则匹配: AI Specialist
AI00667,AI Product Manager,"Docker, Kubernetes, Git",0,规则匹配: AI Product Manager
AI00670,AI Software Engineer,"Azure, Python, NLP, TensorFlow",1,规则匹配: AI Software Engineer
AI00672,AI Software Engineer,"Python, Spark, TensorFlow, Hadoop",1,规则匹配: AI Software Engineer
AI00679,AI Product Manager,"R, GCP, SQL",0,规则匹配: AI Product Manager
AI00680,AI Software Engineer,"Docker, Azure, Scala",1,规则匹配: AI Software Engineer
AI00683,AI Product Manager,"Linux, Docker, Data Visualization, SQL, NLP",0,规则匹配: AI Product Manager
AI00692,Principal Data Scientist,"Tableau, Docker, Java, Statistics, Hadoop",0,Data Scientist BI/reporting only
AI00693,AI Consultant,"Git, Java, Mathematics, NLP, AWS",0,规则匹配: AI Consultant
AI00694,AI Architect,"SQL, PyTorch, Deep Learning, Tableau",1,规则匹配: AI Architect
AI00695,AI Software Engineer,"Java, AWS, Python, Data Visualization, TensorFlow",1,规则匹配: AI Software Engineer
AI00699,AI Architect,"PyTorch, GCP, Kubernetes, Spark",1,规则匹配: AI Architect
AI00703,AI Architect,"Git, R, Python, Mathematics, Kubernetes",1,规则匹配: AI Architect
AI00707,AI Specialist,"Scala, Git, MLOps",1,规则匹配: AI Specialist
AI00709,AI Product Manager,"R, Python, Mathematics, Computer Vision",0,规则匹配: AI Product Manager
AI00716,AI Specialist,"Git, Mathematics, Computer Vision, SQL",1,规则匹配: AI Specialist
AI00720,AI Consultant,"Spark, TensorFlow, Hadoop",0,规则匹配: AI Consultant
AI00730,AI Consultant,"SQL, Git, PyTorch",0,规则匹配: AI Consultant
AI00733,AI Consultant,"Scala, Python, Mathematics, AWS",0,规则匹配: AI Consultant
AI00735,AI Software Engineer,"Spark, Java, Python, Statistics",1,规则匹配: AI Software Engineer
AI00736,AI Specialist,"Scala, Python, SQL, TensorFlow",1,规则匹配: AI Specialist
AI00739,Principal Data Scientist,"Computer Vision, MLOps, TensorFlow",1,Data Scientist with ML skills
AI00747,AI Consultant,"Docker, SQL, Scala, Deep Learning, Mathematics",0,规则匹配: AI Consultant
AI00755,AI Product Manager,"Linux, Data Visualization, R, MLOps",0,规则匹配: AI Product Manager
AI00757,Principal Data Scientist,"Docker, Git, Statistics",1,Data Scientist default
AI00761,Principal Data Scientist,"Deep Learning, PyTorch, Computer Vision, Linux, Docker",1,Data Scientist with ML skills
AI00763,AI Architect,"Linux, Python, Mathematics",1,规则匹配: AI Architect
AI00766,AI Consultant,"MLOps, Python, Git, Kubernetes",0,规则匹配: AI Consultant
AI00771,AI Consultant,"SQL, Hadoop, Computer Vision, R, GCP",0,规则匹配: AI Consultant
AI00774,AI Specialist,"PyTorch, Hadoop, Git, Computer Vision, R",1,规则匹配: AI Specialist
AI00781,Principal Data Scientist,"Tableau, Azure, NLP, MLOps",1,Data Scientist with ML skills
AI00784,AI Software Engineer,"Tableau, Git, Hadoop",1,规则匹配: AI Software Engineer
AI00785,AI Specialist,"Deep Learning, Statistics, Spark, Kubernetes, Scala",1,规则匹配: AI Specialist
AI00796,AI Consultant,"Statistics, Kubernetes, MLOps, AWS",0,规则匹配: AI Consultant
AI00798,AI Software Engineer,"Spark, Computer Vision, Data Visualization, NLP",1,规则匹配: AI Software Engineer
AI00802,AI Product Manager,"SQL, Tableau, Data Visualization, NLP, Hadoop",0,规则匹配: AI Product Manager
AI00810,AI Specialist,"Java, Scala, Deep Learning, Docker, NLP",1,规则匹配: AI Specialist
AI00811,AI Specialist,"Python, Data Visualization, TensorFlow, Git, Azure",1,规则匹配: AI Specialist
AI00812,AI Product Manager,"R, Python, Scala, Linux",0,规则匹配: AI Product Manager
AI00820,AI Consultant,"TensorFlow, Deep Learning, Hadoop, Docker",0,规则匹配: AI Consultant
AI00821,AI Specialist,"Hadoop, Data Visualization, AWS, Computer Vision",1,规则匹配: AI Specialist
AI00826,Principal Data Scientist,"R, Spark, PyTorch, Java, Linux",1,Data Scientist with ML skills
AI00827,AI Specialist,"Scala, PyTorch, Statistics, Hadoop",1,规则匹配: AI Specialist
AI00828,AI Software Engineer,"MLOps, SQL, Git, PyTorch",1,规则匹配: AI Software Engineer
AI00837,AI Product Manager,"MLOps, Mathematics, Deep Learning",0,规则匹配: AI Product Manager
AI00838,AI Specialist,"Azure, Java, Data Visualization",1,规则匹配: AI Specialist
AI00840,AI Architect,"SQL, Linux, Java, PyTorch",1,规则匹配: AI Architect
AI00842,Principal Data Scientist,"Scala, AWS, Python, TensorFlow",1,Data Scientist with ML skills
AI00843,Principal Data Scientist,"Python, PyTorch, Mathematics",1,Data Scientist with ML skills
AI00845,AI Architect,"Hadoop, Spark, Docker",1,规则匹配: AI Architect
AI00851,AI Specialist,"Python, Hadoop, Tableau, NLP, Computer Vision",1,规则匹配: AI Specialist
AI00853,Principal Data Scientist,"Scala, Computer Vision, SQL",1,Data Scientist with ML skills
AI00855,AI Software Engineer,"GCP, Statistics, Docker",1,规则匹配: AI Software Engineer
AI00858,AI Architect,"Computer Vision, Spark, NLP, Azure, Python",1,规则匹配: AI Architect
AI00864,AI Product Manager,"Java, Git, R, Hadoop",0,规则匹配: AI Product Manager
AI00869,Principal Data Scientist,"Scala, Python, Linux",1,Data Scientist default
AI00870,AI Software Engineer,"Linux, NLP, SQL, TensorFlow, GCP",1,规则匹配: AI Software Engineer
AI00874,AI Architect,"AWS, SQL, Linux, Tableau, Kubernetes",1,规则匹配: AI Architect
AI00877,AI Product Manager,"PyTorch, NLP, Hadoop, Git, Computer Vision",0,规则匹配: AI Product Manager
AI00879,AI Software Engineer,"AWS, Python, Hadoop, Tableau",1,规则匹配: AI Software Engineer
AI00880,Principal Data Scientist,"MLOps, R, Java",1,Data Scientist with ML skills
AI00883,Principal Data Scientist,"Python, Docker, AWS",1,Data Scientist default
AI00884,Principal Data Scientist,"TensorFlow, Scala, NLP, Azure, Computer Vision",1,Data Scientist with ML skills
AI00885,AI Architect,"SQL, Kubernetes, Tableau, Computer Vision, Python",1,规则匹配: AI Architect
AI00886,AI Consultant,"Linux, R, Deep Learning",0,规则匹配: AI Consultant
AI00889,AI Specialist,"Java, TensorFlow, Tableau, Deep Learning, PyTorch",1,规则匹配: AI Specialist
AI00893,AI Software Engineer,"Kubernetes, Git, Tableau, R",1,规则匹配: AI Software Engineer
AI00894,AI Software Engineer,"Kubernetes, Java, MLOps",1,规则匹配: AI Software Engineer
AI00896,AI Architect,"Statistics, Kubernetes, Tableau, Mathematics, NLP",1,规则匹配: AI Architect
AI00905,Principal Data Scientist,"Statistics, GCP, AWS, SQL, Azure",1,Data Scientist default
AI00909,AI Specialist,"PyTorch, Spark, TensorFlow",1,规则匹配: AI Specialist
AI00910,AI Software Engineer,"Deep Learning, R, Mathematics, Docker, Azure",1,规则匹配: AI Software Engineer
AI00921,AI Architect,"AWS, Linux, Tableau, Azure, Kubernetes",1,规则匹配: AI Architect
AI00922,Principal Data Scientist,"MLOps, Java, Python, GCP, NLP",1,Data Scientist with ML skills
AI00925,AI Product Manager,"Hadoop, SQL, PyTorch",0,规则匹配: AI Product Manager
AI00926,AI Specialist,"Tableau, Data Visualization, Linux, Docker",1,规则匹配: AI Specialist
AI00927,Principal Data Scientist,"Linux, Kubernetes, R",1,Data Scientist default
AI00928,AI Architect,"Python, Git, Linux, NLP",1,规则匹配: AI Architect
AI00929,AI Consultant,"GCP, NLP, MLOps",0,规则匹配: AI Consultant
AI00932,AI Architect,"Hadoop, AWS, Git, Scala, PyTorch",1,规则匹配: AI Architect
AI00934,AI Software Engineer,"Java, Mathematics, Tableau",1,规则匹配: AI Software Engineer
AI00936,AI Software Engineer,"TensorFlow, Python, Deep Learning, PyTorch, Hadoop",1,规则匹配: AI Software Engineer
