job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name,_layer1_tag,_layer1_reason,_layer1_confidence,_gray_zone_reason
AI00204,AI Specialist,59056,USD,MI,CT,Ireland,M,Ireland,50,"Scala, SQL, Deep Learning, Statistics, GCP",Associate,2,Healthcare,2024-08-23,2024-10-18,2262,6.0,Predictive Systems,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00205,AI Consultant,76940,USD,MI,FT,Austria,M,Austria,0,"AWS, Scala, Docker",Associate,3,Transportation,2025-03-29,2025-05-31,1948,7.5,Cognitive Computing,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00215,AI Specialist,68595,USD,MI,FT,China,S,China,50,"Azure, Python, TensorFlow, Data Visualization",Master,4,Manufacturing,2024-01-30,2024-02-29,1954,7.5,Machine Intelligence Group,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00216,AI Software Engineer,301038,USD,EX,PT,Norway,M,Norway,50,"GCP, Azure, Deep Learning, Spark, SQL",PhD,18,Media,2025-04-15,2025-05-13,1248,5.5,Cognitive Computing,,Ambiguous title - needs LLM,low,Ambiguous title - needs LLM
AI00219,Principal Data Scientist,53960,USD,MI,PT,Finland,M,Finland,0,"PyTorch, MLOps, Computer Vision, AWS, Deep Learning",Master,3,Telecommunications,2024-07-15,2024-08-16,1401,9.7,Digital Transformation LLC,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00223,AI Architect,115263,GBP,MI,FL,United Kingdom,L,United Kingdom,50,"Mathematics, Hadoop, Scala, NLP, Kubernetes",Bachelor,3,Finance,2025-01-25,2025-02-22,1423,6.9,Machine Intelligence Group,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00227,AI Product Manager,159643,USD,SE,PT,United States,S,United States,100,"Data Visualization, Linux, GCP, Hadoop",Master,5,Gaming,2024-01-27,2024-03-03,951,5.3,Digital Transformation LLC,,Ambiguous title - needs LLM,low,Ambiguous title - needs LLM
AI00244,AI Specialist,105699,USD,SE,FL,Singapore,S,Sweden,0,"Spark, Git, Hadoop",PhD,6,Healthcare,2025-02-11,2025-03-23,593,6.6,AI Innovations,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00246,AI Product Manager,63141,USD,MI,CT,Japan,S,Japan,100,"R, Azure, MLOps",Associate,3,Manufacturing,2024-12-09,2025-02-08,1662,5.2,Digital Transformation LLC,,Ambiguous title - needs LLM,low,Ambiguous title - needs LLM
AI00247,AI Specialist,87871,USD,SE,CT,Austria,L,United Kingdom,100,"Git, Statistics, Mathematics, Hadoop, Java",Master,9,Telecommunications,2025-02-02,2025-04-16,906,9.1,AI Innovations,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00252,AI Product Manager,42661,USD,EN,PT,Ireland,M,Ireland,0,"Python, Linux, Tableau, SQL, MLOps",Bachelor,1,Finance,2024-12-25,2025-01-13,783,8.0,Digital Transformation LLC,,Ambiguous title - needs LLM,low,Ambiguous title - needs LLM
AI00256,Principal Data Scientist,80307,EUR,MI,FL,France,L,Norway,50,"Spark, Java, GCP",Master,4,Retail,2024-08-28,2024-10-11,2097,7.4,Advanced Robotics,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00257,AI Product Manager,107321,EUR,MI,PT,Germany,L,Ireland,0,"SQL, Python, GCP",Master,3,Technology,2025-03-04,2025-04-14,1012,7.6,Autonomous Tech,,Ambiguous title - needs LLM,low,Ambiguous title - needs LLM
AI00262,Principal Data Scientist,69807,USD,EN,FT,United States,L,United States,0,"Data Visualization, Scala, Python, SQL, Linux",Bachelor,0,Transportation,2024-12-14,2024-12-31,1431,8.4,Smart Analytics,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00263,AI Software Engineer,67824,GBP,EN,FT,United Kingdom,L,Switzerland,0,"Java, AWS, GCP, Spark",Bachelor,0,Gaming,2024-05-06,2024-06-21,1121,9.7,Quantum Computing Inc,,Ambiguous title - needs LLM,low,Ambiguous title - needs LLM
AI00266,AI Consultant,81885,USD,MI,PT,United States,S,United States,0,"Scala, GCP, MLOps, Python, Computer Vision",PhD,3,Retail,2024-12-07,2025-02-05,1057,9.0,Cloud AI Solutions,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00276,Principal Data Scientist,81112,USD,SE,FL,India,S,Canada,100,"Java, Git, Data Visualization, SQL, Kubernetes",PhD,7,Consulting,2025-03-03,2025-04-29,655,7.5,Digital Transformation LLC,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00288,AI Software Engineer,250562,USD,EX,CT,Switzerland,S,Switzerland,0,"Docker, TensorFlow, Hadoop, Git, Scala",Associate,12,Government,2025-02-07,2025-03-06,2407,7.7,Cognitive Computing,,Ambiguous title - needs LLM,low,Ambiguous title - needs LLM
AI00291,AI Consultant,94160,USD,SE,FT,Ireland,S,South Korea,100,"Tableau, Linux, SQL, Spark, GCP",Associate,5,Automotive,2025-04-05,2025-05-21,1064,5.3,Future Systems,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00294,AI Consultant,222223,EUR,EX,PT,Netherlands,M,Netherlands,0,"Data Visualization, Hadoop, Scala, AWS",PhD,19,Retail,2024-04-27,2024-06-28,2274,7.9,Predictive Systems,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00298,AI Specialist,66150,USD,SE,FT,Ireland,S,Ireland,100,"Computer Vision, SQL, Java, GCP",Master,5,Finance,2025-03-03,2025-04-30,819,6.4,TechCorp Inc,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00299,Principal Data Scientist,178470,USD,EX,FT,Australia,L,Singapore,100,"Python, TensorFlow, Git, PyTorch, MLOps",PhD,18,Energy,2024-02-16,2024-03-23,1577,7.8,Quantum Computing Inc,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00304,AI Software Engineer,104460,USD,MI,FL,Sweden,M,Netherlands,0,"Deep Learning, Kubernetes, SQL",Bachelor,3,Transportation,2025-03-30,2025-05-03,1126,6.6,Predictive Systems,,Ambiguous title - needs LLM,low,Ambiguous title - needs LLM
AI00307,AI Architect,223296,USD,SE,FL,Denmark,L,Australia,0,"Git, Python, Scala, AWS",Master,5,Healthcare,2025-04-30,2025-05-26,2342,9.2,Neural Networks Co,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00310,AI Product Manager,80483,USD,MI,PT,Finland,L,Finland,50,"Git, Python, TensorFlow, SQL",Bachelor,2,Government,2025-03-02,2025-03-25,2022,8.8,Algorithmic Solutions,,Ambiguous title - needs LLM,low,Ambiguous title - needs LLM
AI00314,AI Software Engineer,160286,USD,EX,FT,Canada,S,South Korea,0,"SQL, Computer Vision, Linux, Data Visualization, Git",PhD,19,Retail,2025-03-14,2025-04-24,1451,8.9,TechCorp Inc,,Ambiguous title - needs LLM,low,Ambiguous title - needs LLM
AI00319,AI Consultant,45129,USD,EN,CT,China,M,China,50,"Kubernetes, Mathematics, Git, PyTorch",Master,1,Technology,2025-02-18,2025-03-26,550,9.5,Cloud AI Solutions,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00326,AI Consultant,78751,USD,MI,CT,Singapore,M,Netherlands,100,"PyTorch, SQL, Java, Git",Master,3,Gaming,2025-04-07,2025-05-20,893,7.7,TechCorp Inc,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00327,AI Architect,238449,USD,EX,PT,United States,M,United States,50,"Scala, Linux, Docker, Git",Associate,15,Gaming,2025-01-15,2025-02-21,1595,5.3,Cloud AI Solutions,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00331,Principal Data Scientist,100354,GBP,MI,PT,United Kingdom,S,Switzerland,100,"Deep Learning, SQL, Data Visualization, NLP, Tableau",Master,2,Government,2024-04-15,2024-05-22,2134,9.0,Autonomous Tech,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00335,Principal Data Scientist,193149,EUR,EX,CT,Germany,L,Germany,50,"PyTorch, SQL, AWS, Spark",Associate,15,Consulting,2024-07-27,2024-09-16,1792,9.6,Autonomous Tech,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00338,AI Consultant,83381,USD,MI,PT,Singapore,S,Switzerland,0,"Mathematics, Git, Linux",Master,3,Energy,2024-10-19,2024-11-29,2296,5.2,Advanced Robotics,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00346,AI Specialist,153376,USD,EX,FL,Finland,S,Finland,0,"Tableau, Azure, AWS, Data Visualization",Master,12,Education,2024-08-12,2024-10-07,1254,8.0,Neural Networks Co,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00350,AI Consultant,66601,USD,SE,CT,Japan,S,Japan,100,"GCP, Linux, R, Scala",Master,5,Technology,2024-06-23,2024-08-12,809,8.5,Cloud AI Solutions,,Gray zone - needs LLM,low,Gray zone - needs LLM
AI00353,AI Software Engineer,72389,EUR,MI,FT,Germany,M,Germany,100,"Deep Learning, Computer Vision, Tableau, PyTorch",Bachelor,2,Gaming,2024-05-06,2024-05-29,2438,6.7,Neural Networks Co,,Ambiguous title - needs LLM,low,Ambiguous title - needs LLM
AI00356,AI Architect,93369,USD,EX,CT,Ireland,S,Ireland,0,"Azure, NLP, Scala",Bachelor,13,Manufacturing,2024-06-22,2024-08-15,658,8.8,Digital Transformation LLC,,Gray zone - needs LLM,low,Gray zone - needs LLM
